
***LMSC***

domain,ngram,accuracy
domain,ngram,accuracy
Video_Games,1,58.099999999999994
Video_Games,2,67.80000000000001
Video_Games,3,75.7
Video_Games,4,80.80000000000001
Video_Games,5,83.89999999999999
Video_Games,6,85.8
Video_Games,7,86.5
Video_Games,8,87.0
Video_Games,9,87.2
Video_Games,10,87.3

domain,ngram,accuracy
Watches,1,61.8
Watches,2,70.6
Watches,3,77.2
Watches,4,81.2
Watches,5,84.2
Watches,6,86.1
Watches,7,87.2
Watches,8,87.8
Watches,9,88.0
Watches,10,88.2
